EPOCH=001,Accuracy= 48.430%
EPOCH=002,Accuracy= 59.920%
EPOCH=003,Accuracy= 68.350%
EPOCH=004,Accuracy= 70.880%
EPOCH=005,Accuracy= 76.160%
EPOCH=006,Accuracy= 79.540%
EPOCH=007,Accuracy= 81.870%
EPOCH=008,Accuracy= 83.110%
EPOCH=009,Accuracy= 82.790%
EPOCH=010,Accuracy= 83.260%
EPOCH=011,Accuracy= 85.110%
EPOCH=012,Accuracy= 84.830%
EPOCH=013,Accuracy= 85.070%
EPOCH=014,Accuracy= 85.220%
EPOCH=015,Accuracy= 86.520%
EPOCH=016,Accuracy= 86.450%
EPOCH=017,Accuracy= 86.740%
EPOCH=018,Accuracy= 87.720%
EPOCH=019,Accuracy= 87.730%
EPOCH=020,Accuracy= 87.740%
