001  00001 |Loss: 2.478 | Acc: 9.375% 
001  00002 |Loss: 2.709 | Acc: 12.500% 
001  00003 |Loss: 3.208 | Acc: 10.417% 
001  00004 |Loss: 3.260 | Acc: 10.938% 
001  00005 |Loss: 3.276 | Acc: 10.625% 
001  00006 |Loss: 3.393 | Acc: 9.896% 
001  00007 |Loss: 3.385 | Acc: 10.714% 
001  00008 |Loss: 3.376 | Acc: 10.156% 
001  00009 |Loss: 3.346 | Acc: 10.417% 
001  00010 |Loss: 3.326 | Acc: 10.625% 
001  00011 |Loss: 3.305 | Acc: 9.659% 
001  00012 |Loss: 3.240 | Acc: 9.375% 
001  00013 |Loss: 3.205 | Acc: 8.894% 
001  00014 |Loss: 3.188 | Acc: 8.929% 
001  00015 |Loss: 3.142 | Acc: 9.375% 
001  00016 |Loss: 3.113 | Acc: 9.375% 
001  00017 |Loss: 3.073 | Acc: 9.375% 
001  00018 |Loss: 3.033 | Acc: 9.896% 
001  00019 |Loss: 3.035 | Acc: 10.197% 
001  00020 |Loss: 2.995 | Acc: 10.469% 
001  00021 |Loss: 2.980 | Acc: 10.119% 
001  00022 |Loss: 2.951 | Acc: 10.085% 
001  00023 |Loss: 2.927 | Acc: 10.462% 
001  00024 |Loss: 2.909 | Acc: 10.807% 
001  00025 |Loss: 2.883 | Acc: 11.375% 
001  00026 |Loss: 2.866 | Acc: 11.899% 
001  00027 |Loss: 2.846 | Acc: 12.153% 
001  00028 |Loss: 2.834 | Acc: 12.054% 
001  00029 |Loss: 2.815 | Acc: 12.177% 
001  00030 |Loss: 2.798 | Acc: 12.708% 
001  00031 |Loss: 2.786 | Acc: 12.903% 
001  00032 |Loss: 2.774 | Acc: 12.988% 
001  00033 |Loss: 2.757 | Acc: 13.352% 
001  00034 |Loss: 2.745 | Acc: 13.511% 
001  00035 |Loss: 2.730 | Acc: 13.482% 
001  00036 |Loss: 2.721 | Acc: 13.542% 
001  00037 |Loss: 2.710 | Acc: 13.598% 
001  00038 |Loss: 2.697 | Acc: 13.980% 
001  00039 |Loss: 2.686 | Acc: 14.103% 
001  00040 |Loss: 2.678 | Acc: 14.375% 
001  00041 |Loss: 2.670 | Acc: 14.253% 
001  00042 |Loss: 2.660 | Acc: 14.360% 
001  00043 |Loss: 2.645 | Acc: 14.680% 
001  00044 |Loss: 2.636 | Acc: 14.702% 
001  00045 |Loss: 2.627 | Acc: 14.722% 
001  00046 |Loss: 2.620 | Acc: 14.742% 
001  00047 |Loss: 2.617 | Acc: 14.827% 
001  00048 |Loss: 2.604 | Acc: 14.909% 
001  00049 |Loss: 2.596 | Acc: 14.987% 
001  00050 |Loss: 2.590 | Acc: 14.938% 
001  00051 |Loss: 2.581 | Acc: 15.012% 
001  00052 |Loss: 2.577 | Acc: 14.904% 
001  00053 |Loss: 2.569 | Acc: 15.153% 
001  00054 |Loss: 2.562 | Acc: 14.988% 
001  00055 |Loss: 2.557 | Acc: 15.170% 
001  00056 |Loss: 2.551 | Acc: 15.123% 
001  00057 |Loss: 2.544 | Acc: 14.967% 
001  00058 |Loss: 2.538 | Acc: 14.978% 
001  00059 |Loss: 2.530 | Acc: 15.148% 
001  00060 |Loss: 2.524 | Acc: 15.260% 
001  00061 |Loss: 2.515 | Acc: 15.523% 
001  00062 |Loss: 2.512 | Acc: 15.575% 
001  00063 |Loss: 2.506 | Acc: 15.575% 
